"Case_ID","arm","avg_ratio","log_ratio","SCNA_event"
"TCGA-HW-8321-01A-11D-2391-01","chr3p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr3q",0.792399568652239,-0.3357,-1
"TCGA-HW-8321-01A-11D-2391-01","chr4p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr4q",0.775288086965022,-0.367195598169623,-1
"TCGA-HW-8321-01A-11D-2391-01","chr5p",1.34289161784959,0.425342872374733,1
"TCGA-HW-8321-01A-11D-2391-01","chr5q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr6p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr6q",0.678468026070043,-0.55964726703559,-1
"TCGA-HW-8321-01A-11D-2391-01","chr7p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr7q",0.723116499488751,-0.4677,-1
"TCGA-HW-8321-01A-11D-2391-01","chr8p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr8q",0.387901006433564,-1.36623957585014,-1
"TCGA-HW-8321-01A-11D-2391-01","chr9p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr9q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr10p",1.45224724217807,0.538287090178816,1
"TCGA-HW-8321-01A-11D-2391-01","chr10q",0.420331650789937,-1.2504,-1
"TCGA-HW-8321-01A-11D-2391-01","chr11p",1.83362675479829,0.8747,1
"TCGA-HW-8321-01A-11D-2391-01","chr11q",1.32866983188343,0.409982646312632,1
"TCGA-HW-8321-01A-11D-2391-01","chr12p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr12q",0.540325247229471,-0.8881,-1
"TCGA-HW-8321-01A-11D-2391-01","chr13p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr13q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr14p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr14q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr15p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr15q",0.433078362722249,-1.2073,-1
"TCGA-HW-8321-01A-11D-2391-01","chr16p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr16q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr17p",0.41745714291549,-1.2603,-1
"TCGA-HW-8321-01A-11D-2391-01","chr17q",0.678972937665379,-0.558574021851847,-1
"TCGA-HW-8321-01A-11D-2391-01","chr18p",0.676236596934519,-0.5644,-1
"TCGA-HW-8321-01A-11D-2391-01","chr18q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr19p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr19q",2.46946753095022,1.3042,1
"TCGA-HW-8321-01A-11D-2391-01","chr20p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr20q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr21p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr21q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr22p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr22q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr1p",0.346325374591414,-1.5298,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr1q",0.292417184125212,-1.7739,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr2p",0.483805810071172,-1.0475,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr2q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr3p",0.691299554204898,-0.532617099585957,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr3q",0.650636854331788,-0.620075550934658,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr4p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr4q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr5p",1.49543661046451,0.580566757861661,1
"TCGA-QH-A65S-01A-11D-A323-01","chr5q",0.567345761243954,-0.817699860603319,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr6p",0.570105174059898,-0.8107,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr6q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr7p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr7q",0.508211173549965,-0.9765,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr8p",0.746906728556171,-0.421,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr8q",0.451344208363302,-1.1477,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr9p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr9q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr10p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr10q",0.492126121418064,-1.0229,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr11p",0.746172044593842,-0.422419784426218,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr11q",1.36203289037549,0.445761541976039,1
"TCGA-QH-A65S-01A-11D-A323-01","chr12p",0.4201860001814,-1.2509,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr12q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr13p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr13q",0.992312289994027,-0.0111338731423476,0
"TCGA-QH-A65S-01A-11D-A323-01","chr14p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr14q",0.306360032130758,-1.7067,-1
"TCGA-QH-A65S-01A-11D-A323-01","chr15p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr15q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr16p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr16q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr17p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr17q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr18p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr18q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr19p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr19q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr20p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr20q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr21p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr21q",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr22p",1,0,0
"TCGA-QH-A65S-01A-11D-A323-01","chr22q",0.465644227843507,-1.1027,-1
"TCGA-HT-7693-01A-11D-2252-01","chr1p",0.595965201882738,-0.7467,-1
"TCGA-HT-7693-01A-11D-2252-01","chr1q",0.62114414089222,-0.687,-1
"TCGA-HT-7693-01A-11D-2252-01","chr2p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr2q",0.475461358221617,-1.0726,-1
"TCGA-HT-7693-01A-11D-2252-01","chr3p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr3q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr4p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr4q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr5p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr5q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr6p",1.41156934048469,0.4973,1
"TCGA-HT-7693-01A-11D-2252-01","chr6q",0.324209888662752,-1.625,-1
"TCGA-HT-7693-01A-11D-2252-01","chr7p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr7q",1.4704930850394,0.5563,1
"TCGA-HT-7693-01A-11D-2252-01","chr8p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr8q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr9p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr9q",1.43056486626144,0.516584915425525,1
"TCGA-HT-7693-01A-11D-2252-01","chr10p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr10q",0.437636725559852,-1.19219428372246,-1
"TCGA-HT-7693-01A-11D-2252-01","chr11p",0.556170835614678,-0.8464,-1
"TCGA-HT-7693-01A-11D-2252-01","chr11q",1.4095258240431,0.495209909889623,1
"TCGA-HT-7693-01A-11D-2252-01","chr12p",0.575265557348446,-0.7977,-1
"TCGA-HT-7693-01A-11D-2252-01","chr12q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr13p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr13q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr14p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr14q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr15p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr15q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr16p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr16q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr17p",1.29146501540188,0.369008562704985,1
"TCGA-HT-7693-01A-11D-2252-01","chr17q",0.37738264939553,-1.4059,-1
"TCGA-HT-7693-01A-11D-2252-01","chr18p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr18q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr19p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr19q",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr20p",0.964478446947615,-0.052179095938252,0
"TCGA-HT-7693-01A-11D-2252-01","chr20q",1.41983115487439,0.505719375850586,1
"TCGA-HT-7693-01A-11D-2252-01","chr21p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr21q",0.379507462843171,-1.39779983902008,-1
"TCGA-HT-7693-01A-11D-2252-01","chr22p",1,0,0
"TCGA-HT-7693-01A-11D-2252-01","chr22q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr1p",0.370642442536752,-1.4319,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr1q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr2p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr2q",0.362784301875373,-1.46281606486585,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr3p",1.72331881192245,0.785189623113595,1
"TCGA-DU-A5TP-01A-11D-A288-01","chr3q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr4p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr4q",1.68936594319513,0.756481872395195,1
"TCGA-DU-A5TP-01A-11D-A288-01","chr5p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr5q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr6p",0.341533736682828,-1.5499,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr6q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr7p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr7q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr8p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr8q",1,0,0
